Station Name,Accessibilité ,Adjacent building,Adjacent station,Adresse ,Architect,Architecte(s) ,Area,Artiste(s) ,Autocar liO ,Bus ,Bus Tisséo ,"Bus, Navette Tisséo ",Capital cost,Connecting line,Construction ,Coordonnéesgéographiques ,Date of official closure,Date of official opening,Different from,Elevation above sea level,Exploitant ,Has part(s),Has use,Heritage designation,Inception,Interchange station,Ligne(s) ,Linéo Tisséo ,Linéo TisséoNavette Tisséo ,Localisation,Located in or next to body of water,Located on street,Location,Mise en service ,Métro ,Named after,Navette Tisséo ,Nombre d'accès ,Operator,Owned by,Part of,Pays,Position parrapport au sol ,Pronunciation audio,Propriétaire ,Quais ,Quartier ,Quartier de Toulouse ,Replaces,Service entry,Significant event,Street address,Structure replaces,TAD Tisséo ,TER ,TER Occitanie ,Train ,Train urbain ,Trains ,Tramway ,Transit annuel ,Transport network,Téléphérique ,Ville,Visitors per year,Voies ,  ,  Train urbain ,​​​​​​​​​​​​​​​ ,​​​​​​​​​​​​​​​ BHNS ,​​​​​​​​​​​​​​​ Bus 
Charles Michels (Paris Metro),,,"Javel – André Citroën (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Avenue Émile Zola (Gare d'Austerlitz, Paris Métro Line 10)",,,,,,,,,,,Paris Métro Line 10,,,,13 July 1913,,,,,,,1913,,,,,"48° 50′ 48.01″ N, 2° 17′ 12.98″ E",,,"15th arrondissement of Paris, Paris, Grand Paris, France",,,place Charles-Michels,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Charonne (Paris Metro),,,"Voltaire (Pont de Sèvres, Paris Métro Line 9)Rue des Boulets (Mairie de Montreuil, Paris Métro Line 9)",,,,,,,,,,,Paris Métro Line 9,,,,10 December 1933,,,,,,,,,,,,"48° 51′ 18″ N, 2° 23′ 03.98″ E",,,"11th arrondissement of Paris, Paris, Grand Paris, France",,,rue de Charonne,,,RATP,RATP,,,,,,,,,,,Charonne Métro Station massacre,,,,,,,,,,,Paris Métro,,,,,,,,,
Château de Vincennes (Paris Metro),,,"Bérault (La Défense, Paris Métro Line 1)Les Rigollots (Val de Fontenay, Paris Métro Line 1)",,,,,,,,,,,Paris Métro Line 1 (Bérault),,,,24 March 1934,,,,,,,24 March 1934,,,,,"48° 50′ 40.33″ N, 2° 26′ 22.23″ E",,,12th arrondissement of ParisVincennesFrance,,,Château de Vincennes,,,RATP (1949–)Centre des monuments nationauxCompagnie du chemin de fer métropolitain de Paris (1934–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Château d'Eau (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 21.3″ N, 2° 21′ 19.7″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Château-Landon (Paris Metro),,,"Gare de l'Est (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Louis Blanc (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,,,,,,,,,Paris Métro Line 7,,,,5 November 1910,,,,,,,,,,,,"48° 52′ 41.99″ N, 2° 21′ 42.98″ E",,,"10th arrondissement of Paris, Paris, Grand Paris, France",,,rue du Château-Landon,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Château Rouge (Paris Metro),,,"Marcadet – Poissonniers (Porte de Clignancourt, Paris Métro Line 4)Barbès - Rochechouart (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,,,,,,,,,Paris Métro Line 4,,,,21 April 1908,Château Rouge ,,,,,,,,,,,"48° 53′ 13.83″ N, 2° 20′ 59.38″ E",,,"18th arrondissement of Paris, Paris, Grand Paris, France",,,place du Château-Rouge,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Châtelet (Paris Metro),,,"Louvre - Rivoli (La Défense, Paris Métro Line 1)Hôtel de Ville (Château de Vincennes, Paris Métro Line 1)Les Halles (Porte de Clignancourt, Paris Métro Line 4)Cité (Bagneux–Lucie Aubrac, Paris Métro Line 4)Pont Marie (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Pont Neuf (La Courneuve - 8 Mai 1945, Paris Métro Line 7)Hôtel de Ville (Rosny-Bois-Perrier, Paris Métro Line 11)Pyramides (Saint-Denis Pleyel, Paris Métro Line 14)Gare de Lyon (Aéroport d'Orly, Paris Métro Line 14)",,,,,,,,,,,Paris Métro Line 1Paris Métro Line 4 (1908–)Paris Métro Line 7 (1926–)Paris Métro Line 11 (1935–)Paris Métro Line 14 (1998–),,,,6 August 1900 (Paris Métro Line 1),Châtelet,,,"Entrance to Châtelet metro station, rue de la FerronnerieEntrance to Châtelet metro station, rue des Lavandières-Sainte-OpportuneEntrance to Châtelet metro station, rue de la LingerieEntrance to Châtelet metro station, place Sainte-OpportuneEntrance to Châtelet metro station, théâtre du Châtelet",,"monument historique inscrit (entrance, 1978–2016)monument historique inscrit (entrée, Paris Métro entrances by Hector Guimard, 2016–)",,Gare de Châtelet – Les Halles,,,,"48° 51′ 30.67″ N, 2° 20′ 49.63″ E",,rue de RivoliRue des Lavandières-Sainte-Opportune,d:Q112334282d:Q1123342861st arrondissement of Paris4th arrondissement of ParisFrance,,,,,,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Chaussée d'Antin - La Fayette (Paris Metro),,,"Opéra (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Le Peletier (La Courneuve - 8 Mai 1945, Paris Métro Line 7)Havre – Caumartin (Pont de Sèvres, Paris Métro Line 9)Richelieu – Drouot (Mairie de Montreuil, Paris Métro Line 9)",,,,,,,,,,,Paris Métro Line 7Paris Métro Line 9 (1923–),,,,5 November 1910,,,,,,,,,,,,"48° 52′ 22.01″ N, 2° 20′ 01″ E",,,"9th arrondissement of Paris, Paris, Grand Paris, France",,,rue de la Chaussée-d'Antinrue La Fayette,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Châtillon - Montrouge (Paris Metro),,,"Malakoff – Rue Étienne Dolet (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Bagneux–Lucie Aubrac (Noisy - Champs, Paris Métro Line 15, building or structure under construction)Fort d'Issy - Vanves - Clamart (Pont de Sèvres, Paris Métro Line 15, building or structure under construction)",,,,,,,,,,,Paris Métro Line 13Paris Métro Line 15 (building or structure under construction),,,,9 November 1976,,,,,,,,Châtillon - Montrouge,,,,"48° 48′ 38.74″ N, 2° 18′ 05.8″ E",,,ChâtillonMontrougeFrance,,,ChâtillonMontrouge,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Chelles - Gournay (Paris Metro),,,"Noisy - Champs (Noisy - Champs, Paris Métro Line 16)Clichy - Montfermeil (Saint-Denis Pleyel, Paris Métro Line 16)",,,,,,,,,,,Paris Métro Line 16,,,,,,,,,,,,Gare de Chelles-Gournay (building or structure under construction),,,,"48° 52′ 27.54″ N, 2° 35′ 08.91″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Chemin Vert (Paris Metro),,,"Saint-Sébastien – Froissart (Balard, Paris Métro Line 8)Bastille (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,5 May 1931,,,,,,,,,,,,"48° 51′ 24.01″ N, 2° 22′ 05.02″ E",,,3rd arrondissement of Paris11th arrondissement of ParisFrance,,,rue du Chemin-Vert,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Chevaleret (Paris Metro),,,"Nationale (Charles de Gaulle - Étoile, Paris Métro Line 6)Quai de la Gare (Nation, Paris Métro Line 6)Gare d'Austerlitz (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10, proposed building or structure)Bibliothèque François Mitterrand (Ivry-Gambetta, Paris Métro Line 10, proposed building or structure)",,,,,,,,,,,Paris Métro Line 6,,,,1 March 1909,,,,,,,,,,,,"48° 50′ 05.82″ N, 2° 22′ 05.02″ E",,,"13th arrondissement of Paris, Paris, Grand Paris, France",,,Rue du Chevaleret,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Christ de Saclay (Paris Metro),,,"Guyancourt (Nanterre La Folie, Paris Métro Line 18)Université Paris-Saclay (Aéroport d'Orly, Paris Métro Line 18)",,,,,,,,,,,Paris Métro Line 18,,,,,,,,,,,,,,,,"48° 43′ 47.5″ N, 2° 09′ 42.48″ E",,,"Saclay, Essonne, Île-de-France, Metropolitan France, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Chevilly-Larue (Paris Metro),,,"L'Haÿ-les-Roses (Saint-Denis Pleyel, Paris Métro Line 14)Thiais - Orly (Aéroport d'Orly, Paris Métro Line 14)",,Brunet Saunier,,,,,,,,,Paris Métro Line 14,,,,24 June 2024,,,,,,,,Porte de Thiais,,,,"48° 45′ 33″ N, 2° 21′ 59″ E",,,"Chevilly-Larue, Val-de-Marne, Île-de-France, Metropolitan France, France",,,Chevilly-Larue,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Clamart (Paris Metro),,,"Issy RER (Pont de Sèvres, Paris Métro Line 15)Châtillon - Montrouge (Noisy - Champs, Paris Métro Line 15)",,,,,,,,,,,Paris Métro Line 15,,,,,,,,,,,,Clamart,,,,"48° 48′ 50.76″ N, 2° 16′ 24.24″ E",,,Issy-les-MoulineauxVanvesClamartFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Cité (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clichy - Montfermeil (Paris Metro),,,"Chelles (Noisy - Champs, Paris Métro Line 16)Sevran - Livry (Saint-Denis Pleyel, Paris Métro Line 16)",,,,,,,,,,,Paris Métro Line 16,,,,,,,,,,,,Clichy - Montfermeil (building or structure under construction),,,,"48° 54′ 15.93″ N, 2° 33′ 23.64″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Cluny - La Sorbonne (Paris Metro),,,"Odéon (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Maubert - Mutualité (Gare d'Austerlitz, Paris Métro Line 10)",,,,,,,,,,,Paris Métro Line 10,,,,15 February 1930,,,,,,,,Saint-Michel–Notre-Dame,,,,"48° 51′ 03.78″ N, 2° 20′ 39.38″ E",,,5th arrondissement of Paris6th arrondissement of ParisFrance,,,rue de ClunySorbonne,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Concorde (Paris Metro),,,"Champs-Élysées - Clemenceau (La Défense, Paris Métro Line 1)Tuileries (Château de Vincennes, Paris Métro Line 1)Invalides (Balard, Paris Métro Line 8)Madeleine (Pointe du Lac, Paris Métro Line 8)Madeleine (Mairie d'Aubervilliers, Paris Métro Line 12)Assemblée nationale (Mairie d'Issy, Paris Métro Line 12)",,,,,,,,,,,"Paris Métro Line 1 (Tuileries, Champs-Élysées - Clemenceau)Paris Métro Line 8 (Madeleine, Invalides)Paris Métro Line 12 (Assemblée nationale, Madeleine)",,,,13 August 1900 (Paris Métro Line 1),,,,,,,,,,,,"48° 51′ 58.26″ N, 2° 19′ 23.88″ E",,,1st arrondissement of Paris8th arrondissement of ParisFrance,,,,,,RATP (1949–),RATP (1949–),,,,,,,,,,,,"place de la Concorde, I e VIII arrondissements, Parigi",,,,,,,,,,Paris Métro,,,,,,,,,
Commerce (Paris Metro),,,"Félix Faure (Balard, Paris Métro Line 8)La Motte-Picquet – Grenelle (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,27 July 1937,,,,,,,,,,,,"48° 50′ 40.81″ N, 2° 17′ 37.57″ E",,,"15th arrondissement of Paris, Paris, Grand Paris, France",,,rue du Commerce,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Colonel Fabien (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 40.6″ N, 2° 22′ 13″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convention (Paris Metro),,,"Vaugirard (Mairie d'Aubervilliers, Paris Métro Line 12)Porte de Versailles (Mairie d'Issy, Paris Métro Line 12)",,,,,,,,,,,Paris Métro Line 12,,,,5 November 1910,,,,,,,,,,,,"48° 50′ 15″ N, 2° 17′ 48″ E",,,"15th arrondissement of Paris, Paris, Grand Paris, France",,,rue de la Convention,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Corentin Cariou (Paris Metro),,,"Crimée (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Porte de la Villette (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,,,,,,,,,Paris Métro Line 7,,,,5 November 1910,,,,,,,1910,,,,,"48° 53′ 40″ N, 2° 22′ 54″ E",,,"19th arrondissement of Paris, Paris, Grand Paris, France",,,avenue Corentin-Cariou (1946–)Pont levant de la rue de Crimée (1910–1946),,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Coteaux-Beauclair (Paris Metro),,,"La Dhuys (Châtelet, Paris Métro Line 11)Rosny-Bois-Perrier (Rosny-Bois-Perrier, Paris Métro Line 11)",,,,,,,,,,,Paris Métro Line 11,,,,13 June 2024,,,,,,,,,,,,"48° 52′ 56.06″ N, 2° 28′ 02.46″ E",,,,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Corentin Celton (Paris Metro),,,"Porte de Versailles (Mairie d'Aubervilliers, Paris Métro Line 12)Mairie d'Issy (Mairie d'Issy, Paris Métro Line 12)",,,,,,,,,,,Paris Métro Line 12,,,,24 March 1934,,,,,,,,,,,,"48° 49′ 37″ N, 2° 16′ 44″ E",,,"Issy-les-Moulineaux, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,,Corentin Celton,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Corvisart (Paris Metro),,,"Glacière (Charles de Gaulle - Étoile, Paris Métro Line 6)Place d'Italie (Nation, Paris Métro Line 6)",,,,,,,,,,,Paris Métro Line 6,,,,24 April 1906,,,,,,,,,,,,"48° 49′ 47.52″ N, 2° 21′ 01.82″ E",,,"13th arrondissement of Paris, Paris, Grand Paris, France",,,rue Corvisart,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Courcelles (Paris Metro),,,"Ternes (Porte Dauphine, Paris Métro Line 2)Monceau (Nation, Paris Métro Line 2)",,,,,,,,,,,Paris Métro Line 2,,,,7 October 1902,,,,,,,1902,,,,,"48° 52′ 45″ N, 2° 18′ 15″ E",,,8th arrondissement of Paris17th arrondissement of ParisFrance,,,boulevard de Courcelles,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Cour Saint-Émilion (Paris Metro),,,"Bercy (Saint-Denis Pleyel, Paris Métro Line 14)Bibliothèque François Mitterrand (Aéroport d'Orly, Paris Métro Line 14)",,,,,,,,,,,Paris Métro Line 14,,,,15 October 1998,,,,,,,15 October 1998,,,,,"48° 50′ 00.78″ N, 2° 23′ 09.46″ E",,,"12th arrondissement of Paris, Paris, Grand Paris, France",,,Cour Saint-Émilion,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
La Courneuve - 8 Mai 1945 (Paris Metro),,,"Fort d'Aubervilliers (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)",,,,,,,,,,,Paris Métro Line 7,,,,6 May 1987,,,,,,,,La Courneuve - 8 Mai 1945,,,,"48° 55′ 14.02″ N, 2° 24′ 38.02″ E",,,"La Courneuve, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,La Courneuveplace du 8-Mai-1945,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Couronnes (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 09.4″ N, 2° 22′ 48.6″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Courneuve - Six Routes (Paris Metro),,,"Le Bourget RER (Noisy - Champs, Paris Métro Line 16)Saint-Denis Pleyel (Saint-Denis Pleyel, Paris Métro Line 16)Le Bourget RER (Le Mesnil-Amelot, Paris Métro Line 17)Saint-Denis Pleyel (Saint-Denis Pleyel, Paris Métro Line 17)",,,,,,,,,,,Paris Métro Line 16Paris Métro Line 17,,,,,,,,,,,,La Courneuve - Six Routes (tramway d'Île-de-France) (building or structure under construction),,,,"48° 55′ 45.44″ N, 2° 23′ 04.19″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Les Courtilles (Paris Metro),,,"Les Agnettes (Châtillon - Montrouge, Paris Métro Line 13)",,,,,,,,,,,Paris Métro Line 13,,,,14 June 2008,,,,,,,2008,Les Courtilles,,,,"48° 55′ 50.18″ N, 2° 17′ 01.64″ E",,,Asnières-sur-SeineGennevilliersFrance,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Créteil - l'Échat (Paris Metro),,,"Maisons-Alfort – Les Juilliottes (Balard, Paris Métro Line 8)Créteil – Université (Pointe du Lac, Paris Métro Line 8)Le Vert de Maisons (Pont de Sèvres, Paris Métro Line 15, building or structure under construction)Saint-Maur - Créteil (Noisy - Champs, Paris Métro Line 15, building or structure under construction)",,,,,,,,,,,Paris Métro Line 8Paris Métro Line 15 (building or structure under construction),,,,24 September 1973,,,,,,,,,,,,"48° 47′ 47.52″ N, 2° 26′ 57.82″ E",,,"Créteil, Val-de-Marne, Île-de-France, Metropolitan France, France",,,CréteilQ63109531,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Créteil - Préfecture (Paris Metro),,,"Créteil – Université (Balard, Paris Métro Line 8)Pointe du Lac (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,10 September 1974,,,,,,,1974,,,,,"48° 46′ 47.18″ N, 2° 27′ 33.54″ E",,,"Créteil, Val-de-Marne, Île-de-France, Metropolitan France, France",,,CréteilPrefecture hotel of Val-de-Marne,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Créteil - Université (Paris Metro),,,"Créteil - L'Échat (Balard, Paris Métro Line 8)Créteil – Préfecture (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,10 September 1974,,,,,,,,,,,,"48° 47′ 23.42″ N, 2° 27′ 02.22″ E",,,"Créteil, Val-de-Marne, Île-de-France, Metropolitan France, France",,,CréteilParis 12 University,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Crimée (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 53′ 29″ N, 2° 22′ 39″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croix de Chavaux (Paris Metro),,,"Robespierre (Pont de Sèvres, Paris Métro Line 9)Mairie de Montreuil (Mairie de Montreuil, Paris Métro Line 9)",,,,,,,,,,,Paris Métro Line 9,,,,14 October 1937,,,,,,,,,,,,"48° 51′ 29″ N, 2° 26′ 08.75″ E",,,"Montreuil, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Croix-Rouge (Paris Metro),,,,,,,,,,,,,,Paris Métro Line 10,,,2 September 1939 (World War II),30 December 1923,,,,,,,30 December 1923,,,,,"48° 51′ 06.82″ N, 2° 19′ 46.21″ E",,,"6th arrondissement of Paris, Paris, Grand Paris, France",,,place Michel-Debré,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Danube (Paris Metro),,,"Botzaris (Louis Blanc, Paris Métro Line 7bis)Pré Saint-Gervais (Paris Métro Line 7bis)",,,,,,,,,,,"Paris Métro Line 7bis (Pré Saint-Gervais, Botzaris)",,,,18 January 1911,Danube,,,,,,,,,,,"48° 52′ 55.2″ N, 2° 23′ 35.04″ E",,,"19th arrondissement of Paris, Paris, Grand Paris, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Daumesnil (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 50′ 22.6″ N, 2° 23′ 44.9″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Défense (Paris Metro),,,"Esplanade de La Défense (Château de Vincennes, Paris Métro Line 1)Bécon-les-Bruyères (Saint-Denis Pleyel, Paris Métro Line 15, building or structure under construction)Nanterre La Folie (Pont de Sèvres, Paris Métro Line 15, building or structure under construction)",,,,,,,,,,,"Paris Métro Line 1 (Esplanade de La Défense)Paris Métro Line 15 (building or structure under construction, 2031–)",,,,1 April 1992,La DéfenseLa Défense (tramway d'Île-de-France),,,,,,April 1959,La DéfenseLa Défense (tramway d'Île-de-France),,,,"48° 53′ 30.96″ N, 2° 14′ 16.38″ E",,,"Puteaux, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,,La Défense,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Denfert-Rochereau (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Dhuys (Paris Metro),,,"Coteaux Beauclair (Rosny-Bois-Perrier, Paris Métro Line 11)Montreuil - Hôpital (Châtelet, Paris Métro Line 11)",,,,,,,,,,,Paris Métro Line 11,,,,13 June 2024,,,,,,,,,,,,"48° 52′ 38.83″ N, 2° 27′ 54.43″ E",,,MontreuilRosny-sous-BoisFrance,,,Aqueduc de la Dhuis,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Drancy - Bobigny (Paris Metro),,,"Bobigny – Pablo Picasso (Champigny Centre, Paris Métro Line 15)Fort d'Aubervilliers (Saint-Denis Pleyel, Paris Métro Line 15)",,,,,,,,,,,Paris Métro Line 15,,,,,,,,,,,,Q85978589 (proposed building or structure),,,,"48° 54′ 57.29″ N, 2° 25′ 34.91″ E",,,"Drancy, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Dugommier (Paris Metro),,,"Bercy (Charles de Gaulle - Étoile, Paris Métro Line 6)Daumesnil (Nation, Paris Métro Line 6)",,,,,,,,,,,Paris Métro Line 6,,,,1 March 1909,,,,,,,,,,,,"48° 50′ 20.58″ N, 2° 23′ 23.87″ E",,,"12th arrondissement of Paris, Paris, Grand Paris, France",,,rue Dugommier,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Dupleix (Paris Metro),,,"Bir-Hakeim (Charles de Gaulle - Étoile, Paris Métro Line 6)La Motte-Picquet – Grenelle (Nation, Paris Métro Line 6)",,,,,,,,,,,Paris Métro Line 6,,,,24 April 1906,,,,,,,,,,,,"48° 51′ 01.41″ N, 2° 17′ 37″ E",,,"15th arrondissement of Paris, Paris, Grand Paris, France",,,rue Dupleix,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Duroc (Paris Metro),,,"Ségur (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Vaneau (Gare d'Austerlitz, Paris Métro Line 10)Saint-François-Xavier (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Montparnasse – Bienvenüe (Châtillon - Montrouge, Paris Métro Line 13)",,,,,,,,,,,Paris Métro Line 10Paris Métro Line 13,,,,30 December 1923,,,,,,,,,,,,"48° 50′ 49″ N, 2° 18′ 59″ E",,,6th arrondissement of Paris7th arrondissement of Paris15th arrondissement of ParisFrance,,,rue Duroc,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
École Militaire (Paris Metro),,,"La Motte-Picquet – Grenelle (Balard, Paris Métro Line 8)La Tour-Maubourg (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,13 July 1913,École militaire ,,,,,,,,,,,"48° 51′ 18″ N, 2° 18′ 24.01″ E",,,"7th arrondissement of Paris, Paris, Grand Paris, France",,,place de l'École-Militaire,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
École vétérinaire de Maisons-Alfort (Paris Metro),,,"Charenton – Écoles (Balard, Paris Métro Line 8)Maisons-Alfort – Stade (Pointe du Lac, Paris Métro Line 8)",,,,,,,,,,,Paris Métro Line 8,,,,19 September 1970,,,,,,,,,,,,"48° 48′ 54″ N, 2° 25′ 18.01″ E",,,"Maisons-Alfort, Val-de-Marne, Île-de-France, Metropolitan France, France",,,École nationale vétérinaire d'Alfort,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Edgar Quinet (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 50′ 25″ N, 2° 19′ 36″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Église de Pantin (Paris Metro),,,"Hoche (Place d'Italie, Paris Métro Line 5)Bobigny – Pantin – Raymond Queneau (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,,,,,,,,,Paris Métro Line 5,,,,12 October 1942,,,,,,,1942,,,,,"48° 53′ 37″ N, 2° 24′ 46.01″ E",,,"Pantin, arrondissement of Bobigny, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,Église Saint-Germain de Pantin,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Église d'Auteuil (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 50′ 50.59″ N, 2° 16′ 06.94″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Étienne Marcel (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 51′ 48.6″ N, 2° 20′ 55.2″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esplanade de La Défense (Paris Metro),,,"La Défense (La Défense, Paris Métro Line 1)Pont de Neuilly (Château de Vincennes, Paris Métro Line 1)",,,,,,,,,,,"Paris Métro Line 1 (Pont de Neuilly, La Défense)",,,,1 April 1992,,,,,,,,,,,,"48° 53′ 16.24″ N, 2° 15′ 01.59″ E",,,"Puteaux, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Paris Métro,,,,,,,,,
Europe (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 44″ N, 2° 19′ 21″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
